Wijkcode,Wijknaam,Gemnr,Gemnaam,Wijk,Jaar,% 75+,Gem GGZ Kosten,% Kostenmakers GGZ,% mannen,% vrouwen,% Nederlanders,% Surinamers,% Turken,% Marokkanen,% Ned Ant en Arubanen,% Ned Indie en Indonesiers,% Polen,% Overige herkomst,Gem Leeftijd,% Jong,% Volwassen,% Oudere (65+),% Wanbetalers ZVW,% Gestorven binnen kalenderjaar
WK051806,Van Stolkpark en Scheveningse Bosjes,518,'s-Gravenhage,Wijk  06 Van Stolkpark en Scheveningse Bosjes,2016,0.17,302.9435,0.04,0.48,0.52,0.57,0.01,                 ,                 ,                 ,0.06,                 ,0.35,49.34,0.19,0.49,0.32,,0.02
WK051807,Scheveningen,518,'s-Gravenhage,Wijk  07 Scheveningen,2016,0.09,256.234,0.05,0.49,0.51,0.69,0.02,0.01,0.01,0.01,0.03,0.01,0.23,42.93,0.18,0.62,0.20,0.02,0.01
WK051808,Duindorp,518,'s-Gravenhage,Wijk  08 Duindorp,2016,0.05,316.3379,0.05,0.50,0.50,0.84,0.01,0.00,0.01,0.01,0.02,0.01,0.11,39.52,0.23,0.62,0.15,0.03,0.01
WK051809,Geuzen- en Statenkwartier,518,'s-Gravenhage,Wijk  09 Geuzen- en Statenkwartier,2016,0.08,170.2954,0.04,0.48,0.52,0.60,0.02,0.01,0.01,0.01,0.05,0.01,0.31,41.46,0.23,0.58,0.19,0.01,0.01
WK051811,Duinoord,518,'s-Gravenhage,Wijk  11 Duinoord,2016,0.05,160.8067,0.05,0.49,0.51,0.59,0.02,0.00,0.00,0.01,0.05,0.01,0.31,38.62,0.21,0.66,0.13,0.01,0.01
WK051812,Bomen- en Bloemenbuurt,518,'s-Gravenhage,Wijk  12 Bomen- en Bloemenbuurt,2016,0.10,199.9961,0.05,0.46,0.54,0.69,0.03,0.01,0.01,0.01,0.06,0.01,0.19,43.15,0.20,0.59,0.21,0.01,0.01
WK051813,Vogelwijk,518,'s-Gravenhage,Wijk  13 Vogelwijk,2016,0.08,111.0298,0.03,0.48,0.52,0.73,0.01,                 ,                 ,0.01,0.07,0.00,0.18,42.39,0.30,0.50,0.20,,0.01
WK051814,Bohemen en Meer en Bos,518,'s-Gravenhage,Wijk  14 Bohemen en Meer en Bos,2016,0.20,241.5134,0.05,0.44,0.56,0.74,0.02,0.00,0.00,0.01,0.07,0.01,0.15,53.59,0.13,0.49,0.38,0.01,0.02
WK051815,Kijkduin en Ockenburgh,518,'s-Gravenhage,Wijk  15 Kijkduin en Ockenburgh,2016,0.14,118.3708,0.04,0.49,0.51,0.74,0.02,                 ,                 ,0.01,0.05,                 ,0.18,50.20,0.17,0.52,0.32,,0.01
WK051816,Kraayenstein en de Uithof,518,'s-Gravenhage,Wijk  16 Kraayenstein en de Uithof,2016,0.08,1579.1264,0.05,0.52,0.49,0.72,0.04,0.01,0.01,0.01,0.04,0.01,0.16,44.24,0.19,0.61,0.20,0.02,0.01
WK051817,Loosduinen,518,'s-Gravenhage,Wijk  17 Loosduinen,2016,0.11,342.8756,0.05,0.48,0.52,0.69,0.06,0.03,0.03,0.01,0.03,0.02,0.12,45.27,0.19,0.57,0.24,0.02,0.02
WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2016,0.17,432.1559,0.05,0.46,0.54,0.68,0.04,0.02,0.02,0.02,0.05,0.02,0.15,49.68,0.16,0.52,0.33,0.02,0.02
WK051819,Vruchtenbuurt,518,'s-Gravenhage,Wijk  19 Vruchtenbuurt,2016,0.07,166.0531,0.04,0.47,0.53,0.75,0.02,0.01,0.00,0.01,0.05,0.01,0.14,40.88,0.23,0.61,0.16,0.01,0.01
WK051820,Valkenboskwartier,518,'s-Gravenhage,Wijk  20 Valkenboskwartier,2016,0.04,298.7937,0.06,0.50,0.51,0.50,0.12,0.03,0.03,0.02,0.04,0.05,0.23,36.61,0.20,0.71,0.10,0.04,0.01
WK051821,Regentessekwartier,518,'s-Gravenhage,Wijk  21 Regentessekwartier,2016,0.04,375.4313,0.07,0.50,0.50,0.50,0.10,0.03,0.03,0.03,0.03,0.03,0.24,37.04,0.18,0.73,0.10,0.03,0.01
WK051822,Zeeheldenkwartier,518,'s-Gravenhage,Wijk  22 Zeeheldenkwartier,2016,0.03,470.5049,0.07,0.50,0.50,0.52,0.05,0.02,0.03,0.03,0.04,0.01,0.30,37.26,0.16,0.74,0.10,0.03,0.01
WK051823,Willemspark,518,'s-Gravenhage,Wijk  23 Willemspark,2016,0.06,273.7344,0.05,0.51,0.49,0.49,0.01,0.01,0.01,0.01,0.06,0.01,0.41,41.91,0.14,0.69,0.17,0.01,0.00
WK051825,Mariahoeve en Marlot,518,'s-Gravenhage,Wijk  25 Mariahoeve en Marlot,2016,0.12,314.7275,0.06,0.48,0.52,0.49,0.05,0.02,0.03,0.03,0.05,0.01,0.31,43.47,0.18,0.60,0.23,0.03,0.01
WK051826,Bezuidenhout,518,'s-Gravenhage,Wijk  26 Bezuidenhout,2016,0.05,214.2459,0.05,0.49,0.51,0.52,0.04,0.01,0.02,0.02,0.04,0.01,0.34,37.31,0.19,0.70,0.11,0.02,0.00
WK051827,Stationsbuurt,518,'s-Gravenhage,Wijk  27 Stationsbuurt,2016,0.03,371.3947,0.06,0.51,0.49,0.29,0.08,0.05,0.07,0.08,0.02,0.02,0.39,33.31,0.17,0.75,0.07,0.04,0.01
WK051828,Centrum,518,'s-Gravenhage,Wijk  28 Centrum,2016,0.04,322.6209,0.07,0.52,0.48,0.44,0.06,0.03,0.05,0.03,0.04,0.01,0.34,38.53,0.14,0.75,0.11,0.03,0.00
WK051829,Schildersbuurt,518,'s-Gravenhage,Wijk  29 Schildersbuurt,2016,0.03,258.0342,0.06,0.50,0.50,0.09,0.16,0.27,0.22,0.03,0.01,0.02,0.21,35.23,0.29,0.62,0.10,0.05,0.01
WK051830,Transvaalkwartier,518,'s-Gravenhage,Wijk  30 Transvaalkwartier,2016,0.04,236.1623,0.05,0.51,0.49,0.08,0.20,0.27,0.13,0.02,0.01,0.03,0.25,34.35,0.28,0.63,0.09,0.05,0.01
WK051831,Rustenburg en Oostbroek,518,'s-Gravenhage,Wijk  31 Rustenburg en Oostbroek,2016,0.03,173.4009,0.05,0.52,0.49,0.35,0.12,0.13,0.03,0.02,0.02,0.09,0.23,34.59,0.24,0.69,0.08,0.04,0.00
WK051832,Leyenburg,518,'s-Gravenhage,Wijk  32 Leyenburg,2016,0.10,236.5275,0.05,0.49,0.51,0.65,0.06,0.04,0.02,0.02,0.04,0.04,0.15,42.07,0.19,0.63,0.19,0.03,0.01
WK051833,Bouwlust en Vrederust,518,'s-Gravenhage,Wijk  33 Bouwlust en Vrederust,2016,0.09,225.8868,0.05,0.49,0.51,0.31,0.10,0.17,0.13,0.04,0.02,0.04,0.19,38.73,0.25,0.58,0.16,0.04,0.01
WK051834,Morgenstond,518,'s-Gravenhage,Wijk  34 Morgenstond,2016,0.06,326.5565,0.06,0.51,0.49,0.34,0.13,0.14,0.09,0.03,0.03,0.03,0.22,38.16,0.23,0.64,0.14,0.04,0.01
WK051836,Moerwijk,518,'s-Gravenhage,Wijk  36 Moerwijk,2016,0.06,326.1501,0.06,0.52,0.48,0.28,0.11,0.12,0.12,0.05,0.02,0.04,0.27,36.44,0.25,0.64,0.12,0.06,0.01
WK051837,Groente- en Fruitmarkt,518,'s-Gravenhage,Wijk  37 Groente- en Fruitmarkt,2016,0.02,187.3534,0.05,0.52,0.48,0.12,0.17,0.38,0.08,0.02,0.01,0.02,0.21,33.53,0.29,0.65,0.07,0.05,0.00
WK051838,Laakkwartier en Spoorwijk,518,'s-Gravenhage,Wijk  38 Laakkwartier en Spoorwijk,2016,0.03,280.4308,0.05,0.53,0.48,0.25,0.15,0.08,0.09,0.05,0.02,0.08,0.27,34.64,0.23,0.70,0.08,0.06,0.00
WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2016,0.05,136.056,0.04,0.50,0.50,0.58,0.11,0.07,0.05,0.02,0.03,0.01,0.14,37.00,0.29,0.60,0.11,0.02,0.01
WK051842,Ypenburg,518,'s-Gravenhage,Wijk  42 Ypenburg,2016,0.02,157.6612,0.04,0.50,0.50,0.60,0.10,0.04,0.03,0.02,0.03,0.01,0.18,34.55,0.32,0.61,0.07,0.02,0.00
WK051844,Leidschenveen,518,'s-Gravenhage,Wijk  44 Leidschenveen,2016,0.03,101.0191,0.03,0.50,0.50,0.61,0.12,0.03,0.04,0.02,0.03,0.01,0.15,35.62,0.31,0.60,0.09,0.01,0.00
