,Wijkcode,Wijknaam,Gemnr,Gemnaam,Wijk,Jaar,% 75+,Gem GGZ Kosten,% Kostenmakers GGZ,% mannen,% vrouwen,% Nederlanders,% Surinamers,% Turken,% Marokkanen,% Ned Ant en Arubanen,% Ned Indie en Indonesiers,% Polen,% Overige herkomst,Gem Leeftijd,% Jong,% Volwassen,% Oudere (65+),% Wanbetalers ZVW,% Gestorven binnen kalenderjaar
225,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2016,0.07,215.5595,0.05,0.48,0.52,0.57,0.02,0.01,0.00,0.01,0.06,0.01,0.34,43.58,0.19,0.6,0.21,0.01,0.01
0,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2017,0.07,221.16895714285783,0.05142857142857138,0.47285714285714286,0.5242857142857145,0.5671428571428567,0.01857142857142824,0.009999999999999787,-0.004285714285714448,0.01,0.05714285714285694,0.01,0.34285714285714164,43.841428571428565,0.18999999999999997,0.5871428571428581,0.2242857142857133,0.01,0.01
1,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2018,0.07,202.68710000000283,0.051071428571428545,0.47285714285714286,0.5232142857142859,0.5632142857142854,0.020000000000000018,0.011785714285714288,-0.006428571428571672,0.01,0.05607142857142833,0.01,0.34857142857142875,43.93392857142857,0.18999999999999997,0.5792857142857155,0.23142857142857132,0.01,0.01
2,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2019,0.07,184.20524285714055,0.05071428571428571,0.47285714285714286,0.5221428571428572,0.5592857142857142,0.021428571428571352,0.013571428571428346,-0.008571428571428896,0.01,0.054999999999999716,0.01,0.3542857142857141,44.02642857142857,0.18999999999999997,0.571428571428573,0.23857142857142755,0.01,0.01
3,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2020,0.07,165.72338571428554,0.05035714285714288,0.47285714285714286,0.5210714285714286,0.5553571428571429,0.022857142857142687,0.015357142857142847,-0.01071428571428612,0.01,0.053928571428571104,0.01,0.35999999999999943,44.11892857142857,0.18999999999999997,0.5635714285714304,0.24571428571428555,0.01,0.01
4,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2021,0.07,147.24152857143054,0.050000000000000044,0.47285714285714286,0.5200000000000005,0.5514285714285716,0.024285714285714022,0.017142857142856904,-0.012857142857142456,0.01,0.052857142857142936,0.01,0.36571428571428477,44.21142857142857,0.18999999999999997,0.5557142857142878,0.2528571428571418,0.01,0.01
5,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2022,0.07,128.75967142857553,0.0496428571428571,0.47285714285714286,0.5189285714285718,0.5474999999999994,0.0257142857142858,0.018928571428571406,-0.01499999999999968,0.01,0.051785714285714324,0.01,0.3714285714285701,44.30392857142857,0.18999999999999997,0.5478571428571435,0.2599999999999998,0.01,0.01
6,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2023,0.07,110.27781428571325,0.049285714285714266,0.47285714285714286,0.5178571428571432,0.5435714285714282,0.027142857142857135,0.020714285714285463,-0.017142857142856904,0.01,0.05071428571428571,0.01,0.3771428571428572,44.39642857142857,0.18999999999999997,0.5400000000000009,0.267142857142856,0.01,0.01
7,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2024,0.07,91.79595714285824,0.04892857142857143,0.47285714285714286,0.5167857142857146,0.5396428571428569,0.02857142857142847,0.022499999999999964,-0.01928571428571413,0.01,0.0496428571428571,0.01,0.38285714285714256,44.48892857142857,0.18999999999999997,0.5321428571428584,0.274285714285714,0.01,0.01
8,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2025,0.07,73.31410000000324,0.0485714285714286,0.47285714285714286,0.515714285714286,0.5357142857142856,0.029999999999999805,0.024285714285714022,-0.021428571428571352,0.01,0.04857142857142849,0.01,0.3885714285714279,44.581428571428575,0.18999999999999997,0.5242857142857158,0.28142857142857025,0.01,0.01
9,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2026,0.07,54.832242857140955,0.048214285714285765,0.47285714285714286,0.5146428571428574,0.5317857142857143,0.03142857142857114,0.026071428571428523,-0.023571428571428577,0.01,0.047499999999999876,0.01,0.39428571428571324,44.673928571428576,0.18999999999999997,0.5164285714285732,0.28857142857142826,0.01,0.01
10,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2027,0.07,36.35038571428595,0.04785714285714282,0.47285714285714286,0.5135714285714288,0.527857142857143,0.03285714285714292,0.02785714285714258,-0.0257142857142858,0.01,0.046428571428571264,0.01,0.40000000000000036,44.76642857142858,0.18999999999999997,0.5085714285714307,0.2957142857142845,0.01,0.01
11,WK051805,Archipelbuurt,518,'s-Gravenhage,Wijk  05 Archipelbuurt,2028,0.07,17.868528571430943,0.04749999999999999,0.47285714285714286,0.5125000000000002,0.5239285714285709,0.03428571428571425,0.029642857142857082,-0.027857142857143025,0.01,0.04535714285714265,0.01,0.4057142857142857,44.85892857142858,0.18999999999999997,0.5007142857142863,0.3028571428571425,0.01,0.01
