WKC,GMN,Wijknaam,YEAR,Total_Population,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>5,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Chronic_Hartfalen_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2011,7870,0.5063532401524777,0.22426937738246505,0.25095298602287164,0.2789072426937738,0.19123252858958067,0.045743329097839895,0.6467598475222364,0.24777636594663277,0.10546378653113088,0.005717916137229987,0.018424396442185513,0.0044472681067344345,0.011435832274459974,0.6925031766200762,0.01905972045743329,0.2852604828462516,0.00698856416772554,0.014612452350698857,0.008259212198221092,0.022236340533672173,0.18678526048284624,0.0063532401524777635,0.1473951715374841,0.040025412960609914,0.47903430749682335,0.009529860228716646,0.0,0.0,0.855146124523507,0.6118170266836086,0.5279542566709021,0.044472681067344345,0.20330368487928843,0.14675984752223634,0.031130876747141042,0.17153748411689962,0.08767471410419314,0.017153748411689963,0.022236340533672173,0.008259212198221092,0.010165184243964422,0.017789072426937738,0.0031766200762388818,0.0038119440914866584,0.0019059720457433292
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2012,7835,0.5028717294192725,0.21825143586470963,0.2527121888959796,0.2807913209955329,0.1914486279514997,0.048500319081046586,0.641352903637524,0.24952137843012126,0.10912571793235482,0.007019783024888321,0.017868538608806637,0.00574345883854499,0.010848755583918315,0.6968730057434588,0.01914486279514997,0.28270580727504785,0.008934269304403318,0.012763241863433313,0.008934269304403318,0.019783024888321635,0.190810465858328,0.01021059349074665,0.1372048500319081,0.042118698149329926,0.4773452456924059,0.010848755583918315,0.0,0.0,0.8544990427568603,0.6043395022335674,0.5271218889597958,0.03828972559029994,0.20357370772176134,0.14039566049776644,0.03254626675175495,0.17102744097000638,0.09189534141671984,0.017868538608806637,0.02169751116783663,0.007657945118059987,0.01021059349074665,0.017868538608806637,0.003190810465858328,0.0038289725590299937,0.0012763241863433313
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2013,7900,0.49936708860759493,0.2240506329113924,0.24620253164556963,0.28164556962025317,0.1930379746835443,0.04683544303797468,0.6455696202531646,0.24050632911392406,0.11455696202531646,0.008227848101265823,0.0189873417721519,0.005063291139240506,0.00949367088607595,0.7025316455696202,0.027848101265822784,0.28164556962025317,0.01139240506329114,0.014556962025316455,0.00949367088607595,0.019620253164556962,0.19240506329113924,0.00949367088607595,0.14367088607594936,0.05379746835443038,0.4860759493670886,0.013291139240506329,0.0,0.0,0.8620253164556962,0.6012658227848101,0.5221518987341772,0.032278481012658226,0.20189873417721518,0.14113924050632912,0.0310126582278481,0.1670886075949367,0.0930379746835443,0.01708860759493671,0.02088607594936709,0.007594936708860759,0.00949367088607595,0.018354430379746836,0.0031645569620253164,0.0037974683544303796,0.0018987341772151898
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2014,7980,0.506265664160401,0.22807017543859648,0.23809523809523808,0.28383458646616544,0.19298245614035087,0.047619047619047616,0.643483709273183,0.24561403508771928,0.11090225563909774,0.008145363408521303,0.018796992481203006,0.005012531328320802,0.007518796992481203,0.7030075187969925,0.02694235588972431,0.27130325814536344,0.012531328320802004,0.013157894736842105,0.010025062656641603,0.016290726817042606,0.19486215538847118,0.012531328320802004,0.14974937343358397,0.045739348370927316,0.4724310776942356,0.014411027568922305,0.0,0.0,0.8703007518796992,0.5983709273182958,0.5281954887218046,0.041353383458646614,0.19987468671679198,0.14035087719298245,0.03258145363408521,0.16290726817042606,0.09273182957393483,0.016917293233082706,0.020050125313283207,0.007518796992481203,0.009398496240601503,0.016917293233082706,0.003132832080200501,0.0037593984962406013,0.0018796992481203006
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2015,7980,0.5025062656641605,0.22681704260651628,0.2324561403508772,0.28383458646616544,0.20238095238095238,0.047619047619047616,0.6459899749373433,0.24185463659147868,0.11152882205513784,0.009398496240601503,0.018170426065162906,0.005012531328320802,0.008771929824561403,0.7073934837092731,0.021303258145363407,0.2794486215538847,0.011904761904761904,0.015037593984962405,0.007518796992481203,0.016917293233082706,0.19736842105263158,0.008145363408521303,0.13596491228070176,0.043859649122807015,0.4730576441102757,0.012531328320802004,0.044486215538847115,0.018170426065162906,0.8834586466165414,0.5977443609022557,0.5269423558897243,0.03571428571428571,0.20112781954887218,0.13471177944862156,0.03383458646616541,0.16290726817042606,0.09586466165413533,0.017543859649122806,0.019423558897243107,0.007518796992481203,0.010025062656641603,0.016917293233082706,0.0037593984962406013,0.003132832080200501,0.0018796992481203006
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2016,8105,0.5052436767427514,0.2313386798272671,0.23565700185070945,0.2757557063541024,0.20357803824799506,0.04565083281924738,0.6304750154225787,0.25046267735965455,0.11844540407156076,0.010487353485502776,0.017890191239975324,0.003701418877236274,0.00987045033929673,0.6971005552128315,0.014805675508945095,0.27082048118445406,0.011104256631708822,0.012954966070326958,0.00863664404688464,0.017890191239975324,0.19123997532387416,0.010487353485502776,0.13818630475015423,0.03824799506477483,0.4435533621221468,0.00987045033929673,0.04441702652683529,0.01974090067859346,0.8685996298581122,0.5909932140653917,0.5299198025909932,0.0351634793337446,0.2011104256631709,0.13756940160394818,0.03269586674892042,0.1634793337446021,0.09685379395434916,0.01727328809376928,0.01850709438618137,0.007402837754472548,0.009253547193090685,0.016039481801357187,0.0030845157310302285,0.0030845157310302285,0.001850709438618137
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2017,8110,0.5061652281134402,0.23057953144266338,0.22564734895191121,0.2786683107274969,0.2096177558569667,0.04870530209617756,0.6263871763255241,0.25030826140567203,0.12330456226880394,0.008631319358816275,0.017879161528976572,0.004932182490752158,0.009247842170160296,0.6979038224414303,0.013563501849568433,0.27311960542540076,0.008014796547472256,0.01726263871763255,0.009247842170160296,0.016646115906288533,0.20221948212083848,0.009864364981504316,0.1344019728729963,0.0468557336621455,0.4401972872996301,0.012946979038224414,0.04254007398273736,0.02404438964241677,0.8705302096177558,0.5838471023427867,0.5246609124537608,0.035758323057953144,0.20283600493218248,0.1381011097410604,0.032675709001233046,0.1621454993834772,0.09741060419235512,0.016646115906288533,0.018495684340320593,0.006781750924784217,0.008014796547472256,0.014796547472256474,0.002466091245376079,0.0030826140567200987,0.0012330456226880395
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2018,8240,0.5097087378640777,0.22997572815533981,0.22815533980582525,0.27730582524271846,0.21177184466019416,0.04550970873786408,0.6183252427184466,0.254247572815534,0.12803398058252427,0.009101941747572815,0.01820388349514563,0.006067961165048544,0.009708737864077669,0.7057038834951457,0.011529126213592233,0.2803398058252427,0.006674757281553398,0.015776699029126214,0.00849514563106796,0.01699029126213592,0.19842233009708737,0.00849514563106796,0.12378640776699029,0.04247572815533981,0.41565533980582525,0.010315533980582525,0.04308252427184466,0.020024271844660196,0.8549757281553398,0.5813106796116505,0.5273058252427184,0.038834951456310676,0.2020631067961165,0.14441747572815533,0.030946601941747573,0.16262135922330098,0.09587378640776699,0.016383495145631068,0.01820388349514563,0.006674757281553398,0.007888349514563107,0.013349514563106795,0.0024271844660194173,0.003033980582524272,0.0012135922330097086
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2019,8300,0.5066265060240964,0.22951807228915663,0.22951807228915663,0.2753012048192771,0.21265060240963857,0.04397590361445783,0.6144578313253012,0.25,0.13493975903614458,0.008433734939759036,0.018674698795180723,0.007228915662650603,0.010843373493975903,0.7090361445783132,0.016265060240963854,0.28313253012048195,0.00783132530120482,0.016867469879518072,0.01144578313253012,0.01746987951807229,0.19578313253012047,0.00963855421686747,0.12891566265060242,0.0427710843373494,0.4,0.009036144578313253,0.0463855421686747,0.02469879518072289,0.8487951807228916,0.572289156626506,0.5150602409638554,0.03614457831325301,0.19759036144578312,0.13975903614457832,0.030120481927710843,0.15963855421686746,0.0927710843373494,0.015060240963855422,0.016867469879518072,0.006024096385542169,0.007228915662650603,0.012650602409638554,0.0024096385542168677,0.0030120481927710845,0.0
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2020,8315,0.5075165363800361,0.22309079975947083,0.2291040288634997,0.2790138304269393,0.21707757065544198,0.04269392663860493,0.6127480457005412,0.24954900781719783,0.13770294648226097,0.007817197835237523,0.018641010222489478,0.006013229104028864,0.010222489476849068,0.6915213469633193,0.0024052916416115455,0.2808177991581479,0.00841852074564041,0.019242333132892364,0.011425135297654841,0.019242333132892364,0.19603126879134095,0.009621166566446182,0.0018039687312086591,0.040889957907396274,0.3830426939266386,0.007817197835237523,0.045700541190619365,0.02345159350571257,0.8454600120264583,0.5508117859290439,0.4810583283223091,0.037282020444978956,0.19242333132892364,0.12627781118460613,0.03006614552014432,0.1539386650631389,0.08839446782922429,0.01503307276007216,0.013830426939266387,0.00661455201443175,0.0072158749248346366,0.012026458208057728,0.0024052916416115455,0.0024052916416115455,0.0012026458208057728
