WKC,GMN,Wijknaam,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,AGE_SD,Person_in_Household_SD,Income_SD,Moving_Count_SD,Lifeevents_Count_SD,UniqueMed_Count_SD,ZVWKOSTENTOTAAL_SD,ZVWKHUISARTS_SD,ZVWKZIEKENHUIS_SD,ZVWKFARMACIE_SD,ZVWKOSTENPSYCHO_SD
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2011,40.8137392835864,2.37854889589905,34776.1911486388,1.00660569105691,2.85594111461619,3.98789649415693,2140.65451107662,116.701811758055,1228.29148812889,314.048469474279,240.843599548469,23.1045513369031,1.57460197695947,35560.3831829418,0.0825650466132696,1.79055804316091,3.47460891566448,7333.41725122495,86.0915050864646,5414.95065990281,1410.9040298968,3819.88645920891
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2012,41.0603228338734,2.27722036417689,34805.0313091597,1.01097638800255,2.96952805648458,3.9446916719644,2122.53021134594,110.413543614794,1290.20394138172,286.421258897418,223.192093993326,23.1246463195861,1.42144928506399,31430.5064318122,0.113576723070616,2.1111758999506,3.49506296640319,7065.73581288291,90.0603083540857,5508.10021765415,1589.2767874725,3220.69981983703
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2013,41.0290794356416,2.32207520891365,34828.4543092248,1.01012530059486,2.84818941504178,3.90168421052632,2227.12421211705,112.571992828575,1307.59216108123,239.059311819059,300.687536749553,23.1592398169033,1.4670513924678,32241.4533317124,0.107438516979177,1.794357286631,3.47287678110336,8957.72554836551,89.2110295583213,6118.75733603972,973.245224567578,5603.85573277429
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2014,41.0830657628801,2.3130857341201,37798.8978070804,1.01303258145363,2.90385282887886,3.93693504309439,2112.64789215686,117.609555555556,1339.5905603272,238.27411724608,152.618016067538,23.2828207827973,1.42492649272199,45376.9884135651,0.119867815575245,1.74586487974675,3.45319175966858,7560.10744840265,93.7065712771066,6455.02322792387,955.73951263687,1846.06449414684
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2015,41.429747994574,2.19779437922448,36683.1395967516,1.00814740536475,2.7655638562789,3.85875943000838,2180.83397366277,119.515395076839,1204.90716034272,236.392188222494,200.138575889221,23.3812828120156,1.3405828558102,39289.1880828773,0.0899001567919162,1.38683522836573,3.37879028976688,7215.92370438301,94.7221118726881,5113.90265474661,1252.90563775513,2720.71591748463
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2016,41.1852399194467,2.73905042326095,37652.7912580555,1.01184307920059,2.97276407802724,3.89689000208725,2281.4899662891,122.152994052447,1328.92615031089,260.270574479589,161.243403451996,23.4370301301814,14.5068160653108,34656.6150711863,0.119045693587982,2.01576852158474,3.45635065433569,7704.7368930217,108.209252863343,5595.78284825088,1807.72752970749,2567.54606413095
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2017,41.6923845945962,2.42973602484472,38963.7676697957,1.00974346324618,2.97321428571429,3.94841437632135,2307.95994884222,127.278189283791,1282.72785675821,255.234216478191,169.341155088853,23.6867987953795,1.50639829188206,39342.5531885782,0.0994807453748067,1.75035661117865,3.55958295472244,7704.81193268678,134.265472701615,5684.89526332895,1513.51877890894,2094.88630386501
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2018,41.6271600509834,2.40698587127159,38894.905665492,1.00861441397719,2.91169544740973,4.01974902283481,2564.44526287839,139.940481943707,1448.97245485927,230.076658258099,274.595466011683,23.5477490015433,1.47575028018782,37285.1421126989,0.0962772514053305,1.69378775281238,3.64985213336564,9247.01991332255,174.540203889862,6705.36681050737,868.551375520926,4266.41106997981
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2019,41.7274671699856,2.47024504084014,45627.7684550222,1.01000241021933,2.87242318164138,3.94869153101175,2479.82645805943,149.153647120694,1356.43060872995,249.680128845648,278.27101761767,23.5835475943825,1.60501084831228,125977.013848467,0.105398341578948,1.54544074072881,3.489007121043,9419.60610522534,197.815286116514,7080.04658032243,1455.48940981151,4091.50726571372
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2020,41.8916728785544,2.64488636363636,42866.1400052882,1.01034151034151,2.03977272727273,3.82160219826675,2477.00067118467,149.081299361397,1344.41608236674,239.908158477779,341.378413918937,23.5562776356671,1.86633910087948,55093.3007391206,0.109176455840981,0.209756213251644,3.42356688294154,10173.172892526,175.974855861891,7325.72955701556,1297.12865750709,5485.7438266182
WK051803,'s-Gravenhage, Wijk 03 Westbroekpark en Duttendel,2011,52.6809773691044,2.18153846153846,53912.4578884935,1.01295896328294,2.45538461538462,4.88695652173913,2870.33196692262,147.738138297872,1673.73186170213,408.457588652482,242.486792675724,26.0497403992311,1.31283721123472,63802.500659357,0.126646871156144,1.02149936164142,3.91855723564501,7005.63201877331,144.024440979404,5543.92290653467,1236.84897304607,2789.54149382166
